OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
277,02404321756,Keedysville,MDPV2017_18,21756,58126.8175482743,91366800.2099546
278,02404321758,Knoxville,MDPV2017_18,21758,44391.6002405386,73571617.1669692
279,02404321767,Maugansville,MDPV2017_18,21767,7100.9135343737,1606279.94646742
280,02404321769,Middletown,MDPV2017_18,21769,7958.57327604521,1740852.2026857
281,02404321779,Rohrersville,MDPV2017_18,21779,37499.0328502449,38274033.9613314
282,02404321780,Sabillasville,MDPV2017_18,21780,9850.2426515068,2797767.26966941
283,02404321782,Sharpsburg,MDPV2017_18,21782,103262.063101718,150453937.880905
284,02404321783,Smithsburg,MDPV2017_18,21783,70398.4897448962,152564329.036357
285,02404321795,Williamsport,MDPV2017_18,21795,80977.6156871518,142100267.947424
286,02404521801,Salisbury,MDPV2017_18,21801,99486.7912540169,185144074.602163
287,02404521804,Salisbury,MDPV2017_18,21804,83336.7254594267,230746887.417196
288,02404521814,Bivalve,MDPV2017_18,21814,25767.2154370722,12706174.6163885
289,02404521822,Eden,MDPV2017_18,21822,67242.6661534422,86352190.5106934
290,02404521826,Fruitland,MDPV2017_18,21826,19941.7673816786,14984698.4860359
291,02404521830,Hebron,MDPV2017_18,21830,107288.834526425,142236972.668162
292,02404521837,Mardela Springs,MDPV2017_18,21837,152388.424318019,200539942.335291
293,02404521840,Nanticoke,MDPV2017_18,21840,46654.8278149229,24649458.6859241
294,02404521849,Parsonsburg,MDPV2017_18,21849,93159.1156453707,153329208.016875
295,02404521850,Pittsville,MDPV2017_18,21850,70466.4238986408,122576026.820745
296,02404521856,Quantico,MDPV2017_18,21856,101798.188046838,147543223.346522
297,02404521865,Tyaskin,MDPV2017_18,21865,104770.451204181,63727263.1046606
298,02404521874,Willards,MDPV2017_18,21874,57598.9053024242,115521078.115734
299,02404521875,Delmar,MDPV2017_18,21875,70728.3995920498,98467408.6102357
300,02404700000,Assateague Island,MDPV2017_18,00000,270204.876079983,56143681.8751158
301,02404721804,Salisbury,MDPV2017_18,21804,52789.4583761351,122302387.407155
302,02404721811,Berlin,MDPV2017_18,21811,384937.714121183,409976059.82052
303,02404721813,Bishopville,MDPV2017_18,21813,184879.558965624,114680203.968325
304,02404721829,Girdletree,MDPV2017_18,21829,72252.9334741689,69448596.6779501
305,02404721841,Newark,MDPV2017_18,21841,101630.059256218,147942944.547863
306,02404721842,Ocean City,MDPV2017_18,21842,176220.103304519,39129752.3914293
307,02404721851,Pocomoke City,MDPV2017_18,21851,119035.039931791,380226177.215286
308,02404721862,Showell,MDPV2017_18,21862,10817.3399289311,2938530.86901397
309,02404721863,Snow Hill,MDPV2017_18,21863,186572.537790195,482701870.53005
310,02404721864,Stockton,MDPV2017_18,21864,64363.0248562021,84077328.7757276
311,02404721872,Whaleyville,MDPV2017_18,21872,48960.2726783247,74818135.1330022
312,02451021201,Baltimore,MDPV2017_18,21201,15484.8713979067,5728301.53366426
313,02451021202,Baltimore,MDPV2017_18,21202,20811.3205250996,6949843.61513861
314,02451021205,Baltimore,MDPV2017_18,21205,23668.9049612242,8844893.83016902
315,02451021206,Raspeburg,MDPV2017_18,21206,23252.9165602052,20418805.4310394
316,02451021207,Gwynn Oak,MDPV2017_18,21207,21028.6632776267,12682830.5393675
317,02451021208,Pikesville,MDPV2017_18,21208,5451.67920917752,835532.836970866
318,02451021209,Mt Washington,MDPV2017_18,21209,24091.2796854239,13242876.8172387
319,02451021210,Roland Park,MDPV2017_18,21210,19491.9220469542,12092020.3783624
320,02451021211,Baltimore,MDPV2017_18,21211,17346.5557641232,8613473.26949877
321,02451021212,Govans,MDPV2017_18,21212,17015.8305103301,10828682.1907797
322,02451021213,Clifton,MDPV2017_18,21213,19164.5277076091,14603517.9770089
323,02451021214,Baltimore,MDPV2017_18,21214,18536.2060466269,12361680.4812695
324,02451021215,Arlington,MDPV2017_18,21215,30865.546757523,28396012.4474521
325,02451021216,Baltimore,MDPV2017_18,21216,18512.0682213401,14308850.0023559
326,02451021217,Druid,MDPV2017_18,21217,19679.6589345291,13691930.189235
327,02451021218,Baltimore,MDPV2017_18,21218,22918.4455573215,18758869.2903275
328,02451021222,Dundalk,MDPV2017_18,21222,14643.0678488317,3207642.21388593
329,02451021223,Franklin,MDPV2017_18,21223,18113.9430277898,10663923.1584032
330,02451021224,Highlandtown,MDPV2017_18,21224,45894.3401089008,29899548.8170765
331,02451021225,Brooklyn,MDPV2017_18,21225,22866.3180365271,10756224.8122768
332,02451021226,Curtis Bay,MDPV2017_18,21226,57396.6781763041,20506172.5633801
333,02451021227,Halethorpe,MDPV2017_18,21227,12844.7539742566,1731874.12076386
334,02451021228,Catonsville,MDPV2017_18,21228,4065.94466135122,332127.757755858
335,02451021229,Carroll,MDPV2017_18,21229,24042.5122189429,22715336.0246756
336,02451021230,Morrell Park,MDPV2017_18,21230,59904.4170754399,27340035.198943
337,02451021231,Baltimore,MDPV2017_18,21231,14529.0896789253,3571275.09933219
338,02451021234,Parkville,MDPV2017_18,21234,12879.413643356,4820094.17051199
339,02451021236,Nottingham,MDPV2017_18,21236,3448.79101373013,663461.234740824
340,02451021237,Rosedale,MDPV2017_18,21237,9033.45548075286,2600110.16261195
341,02451021239,Northwood,MDPV2017_18,21239,14829.7828091429,9455119.12554834
342,02451021251,Baltimore,MDPV2017_18,21251,6641.11583290225,950007.699365726
343,02451021287,Baltimore,MDPV2017_18,21287,4071.28806904949,305325.975444191
344,02402721771,Mount Airy,MDPV_2017_18,21771,45487.3786062501,69182110.0587142
345,02402721784,Sykesville,MDPV_2017_18,21784,31605.2368437778,44473955.5498118
346,02402721797,Woodbine,MDPV_2017_18,21797,60263.6215970118,127883345.287987
347,02402721163,Woodstock,MDPV_2017_18,21163,14466.6438396221,11892396.2266116
348,02402721738,Glenwood,MDPV_2017_18,21738,29058.4547212171,29630914.1063975
349,02402720833,Brookeville,MDPV_2017_18,20833,16636.3817860785,8676473.72355767
350,02402721045,Columbia,MDPV_2017_18,21045,30275.168918886,42405455.3365614
351,02402720777,Highland,MDPV_2017_18,20777,31298.8123419765,32393839.7775245
352,02402721046,Columbia,MDPV_2017_18,21046,34287.5457013841,35018346.6808075
353,02402720701,Annapolis Junction,MDPV_2017_18,20701,8252.80664419942,2394967.26771068
354,02402721043,Ellicott City,MDPV_2017_18,21043,55896.260162935,72005248.8412803
355,02402721737,Glenelg,MDPV_2017_18,21737,31649.7429913264,21297454.1525805
356,02402721036,Dayton,MDPV_2017_18,21036,28576.758684098,29459947.7129227
357,02402721104,Marriottsville,MDPV_2017_18,21104,39043.731987979,44308314.0687021
358,02402721075,Elkridge,MDPV_2017_18,21075,49834.8886280153,58842688.0943541
359,02402721076,Hanover,MDPV_2017_18,21076,14617.4577074032,6315779.23983048
360,02402721042,Ellicott City,MDPV_2017_18,21042,73086.5382227489,160204871.736468
361,02402721044,Columbia,MDPV_2017_18,21044,35614.4724335112,53541519.8170262
362,02402721029,Clarksville,MDPV_2017_18,21029,76065.7912726434,70576932.4092853
363,02402720763,Savage,MDPV_2017_18,20763,12412.0978990116,4197819.00583649
364,02402720794,Jessup,MDPV_2017_18,20794,32353.1293119593,31196968.687301
365,02402721723,Cooksville,MDPV_2017_18,21723,27532.5384002638,16031353.273095
366,02402721794,West Friendship,MDPV_2017_18,21794,31089.9591268407,37354652.521026
367,02402720759,Fulton,MDPV_2017_18,20759,45293.3152291382,27540022.8747854
368,02402720723,Laurel,MDPV_2017_18,20723,45581.5216471694,59108919.4485597
369,02403720670,Patuxent River,MDPV_2017_18,20670,37046.9452263973,43256903.9905318
370,02403720606,Abell,MDPV_2017_18,20606,20907.979114185,5195206.43312593
371,02403720626,Coltons Point,MDPV_2017_18,20626,19939.8728556858,6287531.01908053
372,02403720609,Avenue,MDPV_2017_18,20609,4301.91834022519,419948.642848388
373,02403720630,Drayden,MDPV_2017_18,20630,61656.6436586989,29014825.3663893
374,02403720690,Tall Timbers,MDPV_2017_18,20690,33138.6171673222,9903936.59057195
375,02403720684,Saint Inigoes,MDPV_2017_18,20684,63840.114154928,34368135.5176042
376,02403720674,Piney Point,MDPV_2017_18,20674,15825.4146882394,2207940.76187517
377,02403720674,Piney Point,MDPV_2017_18,20674,18967.4925079,3530259.38918133
378,02403720667,Park Hall,MDPV_2017_18,20667,20029.9520466976,9408912.59064841
379,02403720653,Lexington Park,MDPV_2017_18,20653,129397.338848812,139473459.731065
380,02403720622,Charlotte Hall,MDPV_2017_18,20622,37308.8928993753,26039206.6912952
381,02403720659,Mechanicsville,MDPV_2017_18,20659,150301.891928574,404869121.137417
382,02403720636,Hollywood,MDPV_2017_18,20636,108913.907566468,135974695.19073
383,02403720656,Loveville,MDPV_2017_18,20656,10211.6288342792,3719087.01368638
384,02403720621,Chaptico,MDPV_2017_18,20621,64403.6858782383,60876200.8078181
385,02403720624,Clements,MDPV_2017_18,20624,55172.2539309674,43316500.2082572
386,02403720618,Bushwood,MDPV_2017_18,20618,42433.9373109368,33276259.4893687
387,02403720609,Avenue,MDPV_2017_18,20609,71202.726855432,42170540.3900168
388,02403720619,California,MDPV_2017_18,20619,76182.6111106691,71868756.349958
389,02403720650,Leonardtown,MDPV_2017_18,20650,217342.780232717,258843658.711065
390,02403720620,Callaway,MDPV_2017_18,20620,23693.3779713616,16856260.7135603
391,02403720692,Valley Lee,MDPV_2017_18,20692,54311.0089680273,33261545.8781047
392,02403720634,Great Mills,MDPV_2017_18,20634,53123.7310745639,30202555.0275965
393,02403720628,Dameron,MDPV_2017_18,20628,54139.2630494316,29007827.9408761
394,02403720680,Ridge,MDPV_2017_18,20680,11888.8367214954,3515030.1709689
395,02403720680,Ridge,MDPV_2017_18,20680,61114.9925409667,23852097.2546056
396,02403720687,Scotland,MDPV_2017_18,20687,48974.0496785556,27954761.8818505
397,02403121771,Mount Airy,MDPV_2017_18,21771,21343.8341978411,10109217.6558778
398,02403120872,Damascus,MDPV_2017_18,20872,59966.9793059788,86572161.777623
399,02403121771,Mount Airy,MDPV_2017_18,21771,13117.8351507405,6431625.30990862
400,02403121797,Woodbine,MDPV_2017_18,21797,8068.65887753362,2837494.46990803
401,02403120876,Germantown,MDPV_2017_18,20876,47464.3678345849,49704458.0938299
402,02403120841,Boyds,MDPV_2017_18,20841,88767.1887532154,124426394.706138
403,02403120838,Barnesville,MDPV_2017_18,20838,23740.9965751392,11300518.8538078
404,02403120874,Germantown,MDPV_2017_18,20874,75040.785295367,94619335.7968425
405,02403120879,Gaithersburg,MDPV_2017_18,20879,7385.15857027837,1862038.1490088
406,02403120879,Gaithersburg,MDPV_2017_18,20879,4922.35670454911,592378.650910643
407,02403120862,Brinklow,MDPV_2017_18,20862,12678.2789357062,4596039.9035737
408,02403120879,Gaithersburg,MDPV_2017_18,20879,33526.4973409984,24547239.4361968
409,02403120855,Derwood,MDPV_2017_18,20855,49003.2488478875,59192395.0502492
410,02403120832,Olney,MDPV_2017_18,20832,41140.6239808056,42582687.0296451
411,02403120860,Sandy Spring,MDPV_2017_18,20860,22573.8637332394,17099685.7554295
412,02403120837,Poolesville,MDPV_2017_18,20837,65781.470826691,183220741.492106
413,02403120777,Highland,MDPV_2017_18,20777,4654.21106391208,787194.171901652
414,02403120877,Gaithersburg,MDPV_2017_18,20877,36905.1085509721,26318511.2495511
415,02403120861,Ashton,MDPV_2017_18,20861,31124.0081020969,21384471.615234
416,02403120853,Rockville,MDPV_2017_18,20853,40437.4702549196,38123367.149572
417,02403120899,Gaithersburg,MDPV_2017_18,20899,8642.02418913356,3915972.22675303
418,02403120868,Spencerville,MDPV_2017_18,20868,23539.4588123989,7431289.4534087
419,02403120906,Silver Spring,MDPV_2017_18,20906,50357.1744718631,53150089.0060022
420,02403120707,Laurel,MDPV_2017_18,20707,6563.08531532264,2278346.00240619
421,02403120904,Silver Spring,MDPV_2017_18,20904,40321.4644286186,57859923.1996076
422,02403120851,Rockville,MDPV_2017_18,20851,15236.0084406828,10491571.3360306
423,02403120902,Silver Spring,MDPV_2017_18,20902,38578.0437905762,32208412.3531046
424,02403120895,Kensington,MDPV_2017_18,20895,22698.443286828,15994019.8816851
425,02403120910,Silver Spring,MDPV_2017_18,20910,28159.8564939176,19548808.7437581
426,02403120815,Chevy Chase,MDPV_2017_18,20815,28991.8080177592,23633612.1702359
427,02403120894,Bethesda,MDPV_2017_18,20894,2874.87071546135,453823.403491953
428,02403120818,Cabin John,MDPV_2017_18,20818,12950.5554963,5725808.70068929
429,02403120816,Bethesda,MDPV_2017_18,20816,22697.6534155099,18424774.8703203
430,02403120812,Glen Echo,MDPV_2017_18,20812,4802.33295882131,1325214.3478559
431,02403120901,Silver Spring,MDPV_2017_18,20901,24339.1379431494,24076987.0038342
432,02403120912,Takoma Park,MDPV_2017_18,20912,18239.2516464756,9854270.11477157
433,02403120903,Silver Spring,MDPV_2017_18,20903,22578.4212038007,15137242.2446397
434,02403120842,Dickerson,MDPV_2017_18,20842,118873.777108721,192733589.055978
435,02403120839,Beallsville,MDPV_2017_18,20839,19413.2710224411,13343891.7216119
436,02403120878,Gaithersburg,MDPV_2017_18,20878,61342.8917169105,87667352.0523163
437,02403120850,Rockville,MDPV_2017_18,20850,55004.4147418082,59267414.5597703
438,02403120854,Potomac,MDPV_2017_18,20854,78118.361942322,159832420.574139
439,02403120882,Gaithersburg,MDPV_2017_18,20882,84901.4240126987,163472460.672217
440,02403120886,Montgomery Village,MDPV_2017_18,20886,39426.8093250674,17732533.2435397
441,02403120879,Gaithersburg,MDPV_2017_18,20879,13565.5413692557,6948772.86507925
442,02403120833,Brookeville,MDPV_2017_18,20833,67575.8696767377,81151634.0589575
443,02403120817,Bethesda,MDPV_2017_18,20817,53603.3453136026,60689957.8663101
444,02403120814,Bethesda,MDPV_2017_18,20814,42679.9052825899,19183381.6436109
445,02403120905,Silver Spring,MDPV_2017_18,20905,72598.6509692567,52731119.8767044
446,02403120866,Burtonsville,MDPV_2017_18,20866,36224.5412079791,31773676.9193356
447,02403120892,Bethesda,MDPV_2017_18,20892,7129.72375301727,2349886.99753294
448,02403120852,Rockville,MDPV_2017_18,20852,39395.375953906,37559451.8146858
449,02403120895,Kensington,MDPV_2017_18,20895,7785.69231909666,2189963.53774555
450,02403120871,Clarksburg,MDPV_2017_18,20871,71789.6209273971,85955706.2567984
451,02403120880,Washington Grove,MDPV_2017_18,20880,7318.3407041782,1561455.69197415
452,02403120896,Garrett Park,MDPV_2017_18,20896,5711.54252209052,1092115.47570838
453,02403120889,Bethesda,MDPV_2017_18,20889,3396.05364181219,572551.072439552
454,02403320707,Laurel,MDPV_2017_18,20707,40520.1281869782,54115922.7616916
455,02403320708,Laurel,MDPV_2017_18,20708,51534.4423701118,61866478.3017196
456,02403320904,Silver Spring,MDPV_2017_18,20904,2726.43351156066,273615.535970351
457,02403320904,Silver Spring,MDPV_2017_18,20904,3807.28021568251,532843.007409025
458,02403320715,Bowie,MDPV_2017_18,20715,38528.87842904,59674292.6252112
459,02403320770,Greenbelt,MDPV_2017_18,20770,29975.2698587074,21243355.8856579
460,02403320771,Greenbelt,MDPV_2017_18,20771,7127.45394794039,3105863.75822521
461,02403320706,Lanham,MDPV_2017_18,20706,37445.0582480248,34029866.245303
462,02403320785,Hyattsville,MDPV_2017_18,20785,45960.6631142022,43460459.4618161
463,02403320721,Bowie,MDPV_2017_18,20721,44673.0945983701,73083596.1967207
464,02403320722,Brentwood,MDPV_2017_18,20722,13259.2381252577,6836357.43947956
465,02403320774,Upper Marlboro,MDPV_2017_18,20774,10607.6612816754,5076091.99468279
466,02403320706,Lanham,MDPV_2017_18,20706,14719.5180158533,4359222.95397161
467,02403320781,Hyattsville,MDPV_2017_18,20781,11372.5981658341,4032485.15494752
468,02403320747,District Heights,MDPV_2017_18,20747,31981.2576675695,30995565.540607
469,02403320746,Suitland,MDPV_2017_18,20746,34946.7616586219,31572595.4834825
470,02403320762,Andrews Air Force Base,MDPV_2017_18,20762,22811.0427041343,28937799.6173427
471,02403320903,Silver Spring,MDPV_2017_18,20903,6469.00475746976,844082.950326449
472,02403320613,Brandywine,MDPV_2017_18,20613,7667.20831830121,2282932.56223939
473,02403320712,Mount Rainier,MDPV_2017_18,20712,9630.85729322838,2962828.78304278
474,02403320742,College Park,MDPV_2017_18,20742,11589.3457341202,6184674.38513697
475,02403320912,Takoma Park,MDPV_2017_18,20912,9682.7119432562,1307083.70759381
476,02403320720,Bowie,MDPV_2017_18,20720,58613.6024443547,50892171.7177158
477,02403320769,Glenn Dale,MDPV_2017_18,20769,29672.5276356941,21505100.9629962
478,02403320735,Clinton,MDPV_2017_18,20735,61752.7508044537,110968061.252807
479,02403320743,Capitol Heights,MDPV_2017_18,20743,51915.0978088464,43898938.6316058
480,02403320623,Cheltenham,MDPV_2017_18,20623,18279.5175699662,12258389.4188586
481,02403320705,Beltsville,MDPV_2017_18,20705,62319.4060397612,83364220.9330422
482,02403320740,College Park,MDPV_2017_18,20740,44037.7516624678,37062127.9403959
483,02403320607,Accokeek,MDPV_2017_18,20607,60407.3590541485,86928964.5940242
484,02403320601,Waldorf,MDPV_2017_18,20601,36870.3860181407,28380827.5862477
485,02403320783,Hyattsville,MDPV_2017_18,20783,39009.0509164907,25103166.0574149
486,02403320613,Brandywine,MDPV_2017_18,20613,101629.990225252,290357705.444571
487,02403320608,Aquasco,MDPV_2017_18,20608,50958.963665563,83004477.0449827
488,02403320716,Bowie,MDPV_2017_18,20716,33142.4737548474,49859906.1356641
489,02403320706,Lanham,MDPV_2017_18,20706,13595.7282872915,2822362.13909481
490,02403320772,Upper Marlboro,MDPV_2017_18,20772,110231.923025632,307409578.468668
491,02403320748,Temple Hills,MDPV_2017_18,20748,49529.9197955944,41539686.4178968
492,02403320710,Bladensburg,MDPV_2017_18,20710,15475.3463853856,4771418.20835603
493,02403320784,Hyattsville,MDPV_2017_18,20784,38712.5289075229,16979513.3435979
494,02403320782,Hyattsville,MDPV_2017_18,20782,25734.8446133023,17886461.9907206
495,02403320781,Hyattsville,MDPV_2017_18,20781,19602.3319883134,7089147.24056519
496,02403320745,Oxon Hill,MDPV_2017_18,20745,31599.6261304414,34854485.177272
497,02403320744,Fort Washington,MDPV_2017_18,20744,64942.8365909646,123805078.515481
498,02403320737,Riverdale,MDPV_2017_18,20737,23475.5092607856,13918187.0873196
499,02403320774,Upper Marlboro,MDPV_2017_18,20774,90294.9954540096,148661376.233971
500,02400321225,Brooklyn,MDPV_2017_18,21225,17561.4264203924,17070126.1417071
501,02400321090,Linthicum Heights,MDPV_2017_18,21090,25901.06640214,28351061.5419995
502,02400321226,Curtis Bay,MDPV_2017_18,21226,12201.5329735944,5979000.42108574
503,02400321240,BWI Airport,MDPV_2017_18,21240,21414.7466913633,19477657.0864485
504,02400320724,Laurel,MDPV_2017_18,20724,33586.1593157725,33679050.8563765
505,02400321113,Odenton,MDPV_2017_18,21113,62248.7586146708,64737177.7782459
506,02400321056,Gibson Island,MDPV_2017_18,21056,18091.2287283361,6349132.22668849
507,02400321012,Arnold,MDPV_2017_18,21012,53231.9567691964,41217326.2267221
508,02400321409,Annapolis,MDPV_2017_18,21409,111226.543633582,61071628.6095981
509,02400321114,Crofton,MDPV_2017_18,21114,33862.3138424249,21958551.4560998
510,02400321405,Sherwood Forest,MDPV_2017_18,21405,6105.43551385157,1826872.11505199
511,02400321402,Naval Academy,MDPV_2017_18,21402,19642.0724110601,5965871.45994136
512,02400321402,Naval Academy,MDPV_2017_18,21402,4294.65735466751,893074.023116178
513,02400321402,Naval Academy,MDPV_2017_18,21402,6442.63614516656,1193641.42056399
514,02400321037,Edgewater,MDPV_2017_18,21037,15762.9669753414,5597864.31459163
515,02400321140,Riva,MDPV_2017_18,21140,15220.4043523862,5878162.81222224
516,02400320764,Shady Side,MDPV_2017_18,20764,36108.9793082255,16041385.2028017
517,02400320733,Churchton,MDPV_2017_18,20733,31646.9580343604,17876762.2179394
518,02400320755,Fort George G Meade,MDPV_2017_18,20755,57470.5942696801,93302120.7833459
519,02400320701,Annapolis Junction,MDPV_2017_18,20701,12865.9837420582,5372543.6114149
520,02400320776,Harwood,MDPV_2017_18,20776,88985.23235443,89733470.2551351
521,02400320778,West River,MDPV_2017_18,20778,47006.5633815132,35102833.2292117
522,02400320765,Galesville,MDPV_2017_18,20765,8834.45396172613,1828590.51525492
523,02400320754,Dunkirk,MDPV_2017_18,20754,20021.4310835057,10583088.8226522
524,02400320714,North Beach,MDPV_2017_18,20714,9657.63301758745,2887341.90414984
525,02400321035,Davidsonville,MDPV_2017_18,21035,61981.4066638276,119244476.84965
526,02400321403,Eastport,MDPV_2017_18,21403,90071.5212742163,39594916.6702181
527,02400321037,Edgewater,MDPV_2017_18,21037,5823.1934053848,759151.606644432
528,02400321054,Gambrills,MDPV_2017_18,21054,100170.52612137,72915903.6978732
529,02400321077,Harmans,MDPV_2017_18,21077,12398.3938023812,3561119.45491906
530,02400321076,Hanover,MDPV_2017_18,21076,6809.74251491102,1551741.25120998
531,02400321076,Hanover,MDPV_2017_18,21076,62893.1536640235,50048918.7923388
532,02400321122,Pasadena,MDPV_2017_18,21122,168456.648335282,135841419.234606
533,02400320751,Deale,MDPV_2017_18,20751,51350.165360018,18204532.8574501
534,02400321061,Glen Burnie,MDPV_2017_18,21061,63301.064130928,52481642.0324937
535,02400320758,Friendship,MDPV_2017_18,20758,37705.5017235284,20404987.5310616
536,02400320736,Owings,MDPV_2017_18,20736,19876.6403798011,4209252.82803686
537,02400320779,Tracys Landing,MDPV_2017_18,20779,32158.2923823832,29725968.7318368
538,02400320711,Lothian,MDPV_2017_18,20711,68309.5278322538,145890251.578131
539,02400320776,Harwood,MDPV_2017_18,20776,25456.5892395995,8973925.30687684
540,02400321037,Edgewater,MDPV_2017_18,21037,122662.485865464,67980738.548037
541,02400321032,Crownsville,MDPV_2017_18,21032,81021.6309558711,77167209.1109969
542,02400321401,Annapolis,MDPV_2017_18,21401,118935.648559072,88795487.0283866
543,02400321060,Glen Burnie,MDPV_2017_18,21060,82818.0014836649,53081911.3241274
544,02400321226,Curtis Bay,MDPV_2017_18,21226,42952.1056055241,18204747.9726862
545,02400321144,Severn,MDPV_2017_18,21144,56952.4654039276,70429882.1760654
546,02400321108,Millersville,MDPV_2017_18,21108,69392.0440232387,58532547.4938481
547,02400321146,Severna Park,MDPV_2017_18,21146,67758.7268437781,43941043.4329852
548,02400320794,Jessup,MDPV_2017_18,20794,25906.5379689904,13692113.2117646
