"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","Zip_total"
"151","20781",0,4,2,4,5,7,5,6,6,8,5,6,7,10,6,14,8,12,11,5,6,93
"152","21793",2,2,4,6,0,2,6,2,6,13,2,5,8,11,8,8,14,9,9,11,9,92
"153","21704",0,0,3,4,7,1,9,5,8,17,6,4,6,7,10,5,4,10,16,10,9,91
"154","20740",1,2,8,7,6,9,8,6,4,10,6,8,7,11,7,9,9,5,5,12,19,90
"155","21620",3,6,1,7,3,2,1,7,5,5,9,9,8,12,12,5,9,8,5,7,5,90
"156","21617",0,3,1,7,7,9,2,5,5,6,7,6,4,9,15,10,13,7,9,13,6,89
"157","20852",1,3,4,9,5,8,5,2,5,12,6,5,8,10,11,12,8,4,8,5,9,88
"158","21050",1,3,8,11,1,5,4,1,7,5,11,11,4,9,6,10,11,8,12,8,11,87
"159","21211",0,3,5,10,5,7,3,5,6,8,6,12,10,10,6,11,3,7,10,7,9,87
"160","21716",1,1,2,6,4,3,2,6,10,2,7,7,7,6,11,11,10,8,11,15,18,87
"161","21532",2,3,7,7,6,3,5,3,6,6,7,4,8,6,10,7,10,13,13,6,16,85
"162","21128",1,6,6,9,6,4,3,4,7,7,6,6,5,9,12,7,7,11,7,7,11,84
"163","20794",1,3,3,5,5,5,6,11,4,3,4,7,8,12,8,6,5,9,16,7,10,83
"164","21853",0,4,5,7,5,2,2,5,2,21,4,10,5,7,5,7,6,9,8,12,8,83
"165","20634",1,0,4,3,5,6,2,5,4,7,4,6,9,11,4,9,9,10,10,11,10,80
"166","21048",1,2,4,4,5,5,3,5,7,2,7,8,8,7,4,8,7,14,8,8,12,80
"167","20851",1,1,5,8,3,6,7,2,5,8,7,6,5,7,8,10,9,5,6,4,11,79
"168","20903",0,4,3,4,6,8,5,6,5,9,7,8,4,6,4,8,7,10,8,8,12,79
"169","21017",0,2,7,3,4,4,5,5,2,11,9,8,4,7,7,8,6,7,6,11,6,79
"170","21639",0,3,0,8,4,4,3,4,6,7,9,5,11,8,6,4,8,8,10,9,11,79
"171","21713",2,1,9,8,6,5,5,9,5,10,9,6,7,10,4,2,5,7,9,5,11,79
"172","21226",0,3,5,6,5,7,7,5,6,10,5,4,7,5,5,7,5,12,9,7,6,78
"173","21783",2,2,1,1,4,4,6,2,9,5,10,6,3,5,7,11,2,12,4,10,10,78
"174","20769",3,1,3,8,5,7,3,2,5,10,6,5,10,7,6,7,4,12,16,12,9,77
"175","20910",0,1,8,3,5,2,6,3,6,5,7,1,10,10,7,9,5,7,7,9,7,76
"176","20912",1,2,4,7,6,4,2,3,3,10,2,5,4,11,9,9,3,12,9,7,24,73
"177","21030",0,3,4,5,3,6,2,3,6,8,7,4,8,6,10,11,2,6,6,7,11,73
"178","20882",1,3,3,3,2,1,2,4,3,6,5,4,4,6,9,7,13,9,9,13,7,72
"179","21054",0,1,4,4,6,5,2,11,5,5,5,5,4,5,9,12,5,4,7,4,5,72
"180","21903",1,3,1,3,1,2,3,7,1,4,5,10,6,5,8,8,8,6,15,11,9,71
"181","20623",0,1,4,4,4,2,1,3,5,9,5,3,7,8,7,6,10,6,8,5,2,70
"182","20722",2,2,4,4,3,9,3,4,5,7,6,4,5,5,8,11,6,6,12,9,13,70
"183","20872",0,1,3,6,1,2,6,9,4,5,7,5,5,7,6,7,5,4,8,7,3,70
"184","21046",2,4,3,4,2,3,3,5,5,6,5,7,4,10,5,4,6,10,11,4,2,70
"185","21817",1,0,2,7,5,6,5,7,4,6,4,3,3,12,6,6,7,7,6,4,5,70
"186","20855",1,0,2,3,5,4,7,5,3,4,7,5,6,8,4,7,4,8,5,5,3,68
"187","21638",0,2,12,8,2,3,5,2,4,5,6,7,6,6,6,3,6,12,11,6,6,68
"188","20650",0,0,3,5,3,5,4,8,8,7,1,7,4,6,9,2,6,5,12,10,2,67
"189","21162",3,1,0,4,2,0,1,5,6,7,5,4,6,4,10,5,8,5,9,10,7,66
"190","21047",0,1,2,3,6,3,3,1,2,5,4,6,6,12,4,7,6,5,5,10,10,61
"191","21904",1,2,2,1,5,4,2,3,2,5,4,3,2,10,10,5,5,10,9,5,3,61
"192","20676",1,1,3,0,2,1,4,2,4,5,2,5,6,6,3,11,4,7,4,4,4,59
"193","21782",1,0,5,4,3,7,5,0,6,5,7,2,3,5,5,7,10,4,5,3,4,59
"194","20636",3,1,6,4,6,15,9,2,5,4,6,8,5,4,4,4,2,5,10,3,5,58
"195","20637",0,3,6,2,1,4,3,3,1,2,4,5,5,8,6,5,6,8,3,7,10,56
"196","21795",0,1,4,7,3,4,1,6,6,4,3,6,2,7,6,3,5,6,2,0,6,55
"197","21758",0,0,8,2,2,1,3,0,5,2,2,4,6,8,6,6,7,4,7,2,4,53
"198","20714",1,1,3,6,4,7,2,8,5,5,0,5,8,3,4,3,3,6,9,6,5,52
"199","21769",0,1,3,6,0,4,4,1,3,7,3,4,1,6,5,6,5,7,10,7,4,52
"200","21851",1,2,6,2,4,4,4,0,3,2,4,5,6,3,2,10,8,3,9,7,7,50
"201","20764",0,1,1,1,6,2,1,2,2,4,1,4,4,7,9,4,5,6,5,6,5,49
"202","21032",1,1,2,4,1,3,1,2,5,3,3,4,3,5,6,6,6,5,3,1,8,49
"203","21619",1,0,4,3,4,3,1,3,1,8,6,6,6,3,6,4,2,3,8,8,5,49
"204","20710",0,3,1,0,2,2,3,1,1,5,2,5,3,4,9,6,2,7,4,4,3,48
"205","20814",2,1,3,3,1,0,6,5,1,5,5,8,1,2,6,3,4,2,9,2,3,48
"206","20817",1,2,2,5,5,8,5,6,6,5,3,2,3,6,2,3,5,2,6,9,6,48
"207","21826",1,2,5,0,4,2,5,4,5,6,4,3,2,5,3,2,6,3,3,2,4,48
"208","20662",0,0,1,0,2,2,4,0,18,0,1,6,6,6,2,1,2,1,2,3,2,47
"209","20815",2,0,0,0,2,2,3,2,3,4,6,5,8,7,5,1,1,2,4,3,3,47
"210","20895",5,0,3,5,6,2,2,1,7,3,1,4,3,5,6,6,3,5,3,5,2,46
"211","21623",0,0,1,3,0,1,4,2,3,6,3,1,5,3,3,7,4,5,2,1,2,46
"212","21722",0,0,1,2,2,3,3,5,6,8,2,4,4,2,4,1,1,6,5,6,5,46
"213","21154",4,2,3,2,1,6,5,1,5,5,3,4,4,4,5,4,2,3,3,2,6,45
"214","21756",1,1,2,2,2,5,3,5,2,7,1,1,3,4,5,4,3,7,7,2,2,45
"215","21770",0,0,1,4,0,1,7,3,2,1,5,4,4,7,3,4,3,2,7,3,4,45
"216","21090",2,1,1,6,4,6,3,4,3,4,4,3,6,4,5,3,3,2,9,8,11,44
"217","21562",2,2,6,3,2,3,2,3,3,4,1,4,5,6,3,5,5,3,6,5,3,44
"218","21776",1,0,6,6,0,0,1,3,4,9,1,3,2,3,4,4,7,3,7,4,6,44
"219","21791",0,3,2,0,2,2,2,1,4,2,1,3,4,4,7,6,4,6,3,2,8,44
"220","21201",0,0,5,4,2,2,3,4,5,3,9,1,3,5,2,3,3,2,5,3,3,43
"221","21754",0,1,5,3,2,2,3,1,4,4,5,3,3,2,5,3,6,4,7,4,6,43
"222","21797",2,2,1,4,2,1,6,0,3,3,2,3,2,5,4,6,6,3,6,2,7,43
"223","20736",2,3,3,5,2,3,2,4,4,2,2,1,3,2,4,7,4,7,8,6,6,42
"224","20841",1,1,1,2,5,3,3,6,6,7,7,3,3,2,0,2,2,0,3,2,2,41
"225","21161",1,2,2,1,3,2,1,2,1,7,2,3,6,1,6,4,3,5,5,3,8,41
"226","21919",0,2,3,3,1,5,3,4,2,5,2,3,3,3,6,4,4,2,1,1,2,41
"227","20833",0,1,5,2,5,0,1,2,3,3,4,2,5,3,6,5,3,3,3,6,4,40
"228","21545",0,0,5,1,3,2,1,1,3,2,1,1,1,6,5,5,3,11,5,2,1,40
"229","21084",0,0,2,2,3,1,3,1,3,1,3,5,5,4,5,3,4,2,4,3,3,39
"230","21863",0,1,1,3,1,2,2,1,2,5,2,2,4,4,3,7,2,5,3,3,6,39
"231","20664",0,0,3,2,5,4,1,2,4,3,5,7,1,2,2,5,4,2,4,4,2,38
"232","21660",2,0,1,4,5,0,2,2,2,2,3,2,3,5,6,2,3,5,5,6,3,37
"233","21850",1,1,1,4,0,1,3,2,2,5,3,3,1,4,2,1,4,7,7,3,1,37
"234","20861",0,1,1,0,0,0,2,0,0,4,0,0,1,1,2,2,2,22,3,3,1,36
"235","21087",1,0,0,2,1,1,0,2,0,0,1,5,1,7,4,5,6,4,3,3,8,35
"236","20733",1,0,1,0,2,3,1,0,4,6,3,2,0,4,2,5,3,4,3,2,3,34
"237","20754",0,1,4,2,3,1,10,5,1,3,1,3,2,2,3,3,1,0,1,2,7,34
"238","21035",0,1,3,1,0,2,5,2,0,3,3,2,3,4,3,3,3,3,1,1,8,34
"239","21152",1,1,1,0,2,1,2,2,2,0,2,2,2,5,5,4,4,4,4,3,2,34
"240","21830",0,2,2,1,1,1,6,0,2,4,3,2,2,2,3,2,5,3,6,3,2,34
"241","20622",1,0,2,3,3,1,3,3,0,3,3,4,1,4,3,3,3,3,5,3,4,33
"242","21655",2,2,2,3,2,1,2,2,1,2,2,2,4,6,3,3,3,3,5,2,2,33
"243","20712",2,0,2,3,2,1,2,3,4,5,3,1,1,2,2,2,3,4,2,4,4,32
"244","20837",0,2,3,0,2,1,3,2,4,3,2,3,0,3,3,3,2,4,2,4,4,32
"245","21163",1,1,0,4,1,3,2,2,3,1,1,2,3,3,3,6,3,3,2,4,5,32
"246","21651",1,0,2,1,3,2,2,1,7,3,3,2,3,2,2,3,2,2,5,1,1,32
"247","20618",2,1,2,2,1,1,3,3,2,3,0,4,4,3,4,2,1,2,0,0,3,31
"248","21661",0,3,3,5,3,2,4,1,1,2,3,4,3,5,2,2,3,1,2,2,9,31
"249","21727",1,0,1,1,3,0,0,2,1,4,2,1,5,4,3,4,3,2,4,3,5,31
"250","21755",0,0,0,2,1,1,0,3,4,5,0,1,2,5,3,2,2,4,4,3,1,31
"251","21034",0,0,0,1,3,2,4,0,5,6,2,0,1,4,3,2,3,0,0,4,8,30
"252","21750",1,0,2,1,6,5,2,2,1,4,1,5,0,5,2,1,5,2,2,4,13,30
"253","21131",1,0,0,5,1,1,4,1,0,6,1,1,2,6,2,2,1,3,4,3,5,29
"254","21837",1,1,2,3,3,3,2,2,1,2,1,2,3,5,3,4,2,2,6,2,2,29
"255","21915",1,1,1,3,2,5,6,3,4,2,2,2,0,3,2,1,2,1,1,2,1,28
"256","21120",0,0,5,2,0,2,1,3,1,3,1,2,3,2,0,0,5,6,0,1,1,27
"257","21204",4,1,3,3,1,1,1,1,0,2,3,3,1,4,2,2,4,4,4,5,2,27
"258","21557",1,2,1,0,2,1,0,1,3,3,3,2,1,1,3,1,0,9,0,2,3,27
"259","21640",0,0,2,1,1,1,3,1,5,2,3,3,2,2,1,1,1,2,5,3,3,26
"260","21849",0,2,2,2,3,1,1,3,2,1,3,2,2,2,1,6,1,1,0,1,0,25
"261","21917",0,0,0,3,4,1,2,2,1,2,2,4,2,2,2,3,2,1,0,2,2,25
"262","21710",1,0,0,5,1,2,1,3,2,3,2,0,2,3,1,2,3,2,1,2,3,24
"263","20675",1,3,0,3,3,2,1,2,3,4,0,4,1,1,2,2,2,1,2,3,10,23
"264","20689",0,1,2,3,0,1,2,0,0,1,1,2,2,2,4,1,3,5,5,4,1,23
"265","21733",0,1,0,1,0,1,4,1,2,4,0,3,3,2,1,2,0,1,3,1,2,23
"266","21822",0,0,2,2,0,1,3,0,2,0,2,0,1,3,2,3,1,6,3,2,1,23
"267","21053",0,1,0,3,0,2,1,1,1,2,1,3,5,4,1,2,0,1,2,3,2,22
"268","21528",0,0,2,1,0,1,1,0,2,1,1,3,1,1,2,1,6,3,3,2,4,22
"269","21625",0,1,1,1,1,2,2,2,1,1,1,4,2,3,1,2,1,2,2,1,1,22
"270","21658",0,1,2,3,1,1,3,3,3,3,3,1,0,3,2,1,0,0,1,1,2,22
"271","21918",0,0,1,2,0,0,1,2,3,4,0,1,1,1,1,4,2,2,4,1,2,22
"272","20751",1,1,0,1,2,0,3,0,3,2,1,1,2,2,1,1,2,3,3,1,2,21
"273","21155",0,0,0,1,2,1,0,1,1,1,4,1,2,1,1,1,2,6,0,0,1,21
"274","21539",0,0,4,3,2,1,0,1,3,3,2,1,1,3,2,3,1,1,1,0,2,21
"275","21773",0,1,0,0,1,3,1,1,1,0,1,1,0,2,3,2,3,6,0,2,0,21
"276","21838",0,0,1,2,1,1,1,2,3,2,2,1,2,1,2,1,0,4,1,3,2,21
"277","21871",0,0,3,1,0,0,1,1,2,2,4,0,0,3,3,2,2,1,4,2,0,21
"278","21874",1,0,0,1,1,2,0,0,3,1,1,1,2,3,2,2,2,4,1,0,0,21
"279","21631",0,1,7,2,2,1,4,3,0,1,0,2,2,5,1,1,0,1,5,1,1,20
"280","21636",1,0,0,0,0,2,1,0,1,1,2,1,0,2,2,3,5,2,1,2,1,20
"281","21757",0,0,0,3,1,3,3,1,0,2,1,1,0,1,4,3,1,3,4,3,0,20
"282","20645",0,0,1,0,1,1,0,0,1,0,3,1,4,1,3,2,3,1,0,0,2,19
"283","21029",0,1,2,4,3,0,2,2,2,0,1,3,0,5,1,2,1,0,3,5,2,19
"284","21160",0,0,1,3,1,0,0,1,1,0,2,3,6,0,4,0,0,1,1,4,1,18
"285","21521",0,0,0,0,1,1,0,2,1,1,1,0,1,3,0,3,2,4,2,0,0,18
"286","21542",0,1,1,0,2,1,1,0,0,0,0,1,1,3,3,3,2,4,1,1,3,18
"287","21645",0,0,0,0,0,0,1,0,0,0,3,1,1,2,4,3,2,1,2,0,0,18
"288","21555",0,3,1,0,0,3,2,1,0,1,2,1,1,1,0,4,1,3,0,1,0,17
"289","21663",0,1,1,3,1,1,2,2,4,3,3,0,2,0,0,0,1,0,0,0,1,17
"290","21913",0,0,0,1,2,1,0,2,2,1,0,1,2,3,2,2,1,1,2,1,2,17
"291","20621",0,1,0,2,0,1,1,1,0,2,1,0,4,1,1,3,1,1,1,0,4,16
"292","21668",1,1,3,1,3,1,2,0,2,1,1,2,0,1,0,2,1,4,3,0,3,16
"293","20763",0,0,0,1,0,2,0,0,1,2,1,2,3,2,1,0,3,0,2,2,0,15
"294","21028",0,2,0,1,2,0,2,1,0,0,0,2,1,1,1,2,2,3,4,0,2,15
"295","21536",3,1,5,0,0,0,2,0,3,2,0,2,0,0,1,0,1,4,2,1,1,15
"296","21673",0,1,2,2,1,1,1,1,0,2,0,0,3,1,2,1,3,1,2,5,2,15
"297","21678",0,0,1,0,1,0,0,0,0,1,0,3,1,2,2,1,2,2,3,2,3,14
"298","20608",0,0,2,0,0,1,2,1,1,0,0,1,3,0,0,1,2,2,3,1,0,13
"299","20620",0,0,1,0,0,0,1,0,2,3,0,0,1,2,1,1,1,1,3,0,3,13
"300","20677",0,0,0,0,1,1,1,0,0,0,1,3,1,2,1,2,2,0,4,3,1,13
"301","21520",0,2,1,0,0,1,2,1,1,0,0,1,2,2,1,1,2,0,3,2,1,13
"302","21794",0,0,0,3,0,1,1,1,0,1,1,0,2,0,2,2,2,1,2,0,3,13
"303","20759",0,0,2,0,1,1,4,1,1,0,0,1,0,0,0,2,1,2,0,3,3,12
"304","21865",0,0,1,0,1,0,0,3,3,0,1,0,1,1,1,2,0,0,0,0,0,12
"305","20611",0,1,0,2,1,0,0,0,1,1,0,1,2,2,1,1,2,0,1,1,0,11
"306","20776",2,0,1,0,0,0,1,0,2,2,0,0,1,3,0,0,1,1,3,3,2,11
"307","20816",0,1,0,2,1,2,1,1,2,0,0,1,1,1,0,0,1,3,1,0,3,11
"308","20842",0,0,1,1,2,0,1,0,0,2,1,2,0,2,0,1,1,1,1,0,0,11
"309","21057",2,0,0,1,0,1,1,1,1,0,3,0,2,0,2,1,0,0,2,3,1,11
"310","21561",1,1,1,3,1,3,1,1,1,1,1,0,1,1,3,0,1,0,4,4,1,11
"311","21648",0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,1,1,1,0,0,11
"312","21813",0,1,1,0,0,1,1,0,0,1,0,0,2,3,2,1,0,1,0,0,3,11
"313","21861",0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,3,0,2,3,0,1,11
"314","21912",2,0,0,0,1,1,1,1,1,2,1,0,2,0,1,0,2,0,1,2,1,11
"315","20777",0,2,2,2,1,0,1,0,0,1,0,1,1,0,1,2,1,2,2,0,1,10
"316","20778",0,0,0,1,1,0,1,1,0,0,3,0,1,0,2,1,0,1,1,1,2,10
"317","21111",1,1,2,2,2,2,0,0,1,1,1,1,0,1,2,0,2,1,6,1,2,10
"318","21140",0,0,1,2,1,0,0,0,0,1,0,2,1,0,1,1,4,0,4,2,2,10
"319","21664",0,0,0,0,0,0,2,1,2,0,0,1,0,0,1,2,0,1,1,0,2,10
"320","20625",1,2,1,1,3,0,2,0,0,0,0,1,0,1,1,1,2,1,0,3,0,9
"321","20658",2,0,0,2,1,0,1,0,0,0,0,2,0,2,0,1,1,2,1,6,2,9
"322","20674",0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0,1,1,0,1,9
"323","20818",0,0,0,0,1,0,2,0,0,1,0,0,1,2,2,0,0,1,1,0,1,9
"324","21104",0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,5,0,9
"325","21132",2,1,1,2,1,0,2,0,0,2,0,0,1,0,0,1,1,2,4,2,3,9
"326","21607",0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,0,0,0,1,0,2,9
"327","21659",0,1,2,0,0,1,0,0,1,2,1,1,2,0,0,1,1,0,3,0,1,9
"328","21798",0,0,0,0,0,0,1,0,2,1,1,2,1,0,0,0,0,1,3,1,0,9
"329","21914",0,1,0,0,3,2,0,0,1,1,1,0,0,2,0,0,1,3,5,2,3,9
"330","20693",0,1,1,1,0,2,0,0,3,2,0,0,0,1,1,1,0,0,1,1,0,8
"331","20711",1,1,1,3,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,4,2,8
"332","21210",0,1,0,0,2,1,2,3,0,1,1,0,0,0,1,0,0,0,2,3,0,8
"333","21530",0,0,2,1,2,0,0,1,1,0,0,1,2,1,1,0,1,0,2,0,1,8
"334","21531",0,1,2,4,0,1,0,1,0,1,0,2,1,1,0,2,0,0,0,0,2,8
"335","21635",0,1,0,3,1,2,0,0,0,1,2,2,1,0,0,1,1,0,1,2,0,8
"336","21671",0,0,0,0,2,2,0,0,0,3,1,0,0,0,3,0,0,1,1,0,0,8
"337","21719",0,2,3,1,0,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,8
"338","21779",0,0,0,0,1,0,0,2,0,0,0,0,1,1,2,1,0,1,2,1,1,8
"339","21814",0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,8
"340","21872",1,0,0,1,0,0,1,1,1,1,0,2,0,1,0,1,0,0,2,0,1,8
"341","20628",0,1,1,0,1,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,7
"342","20860",0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,2,0,1,2,7
"343","21013",0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,1,1,1,2,7
"344","21036",0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,1,0,0,7
"345","21672",0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,2,1,3,0,0,7
