"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","Zip_total"
"346","21766",0,0,1,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,3,0,7
"347","21777",0,1,2,1,1,1,1,0,0,0,0,0,2,1,2,1,0,0,1,0,1,7
"348","21778",0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,1,0,1,7
"349","21856",0,0,0,1,1,0,0,1,1,3,0,0,0,1,0,0,0,1,2,1,0,7
"350","21864",0,0,1,0,1,0,0,0,1,0,1,0,2,1,0,1,1,0,1,0,2,7
"351","20617",0,1,0,2,1,1,0,0,0,2,0,2,0,0,1,1,0,0,0,1,0,6
"352","20656",0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,6
"353","20687",0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,6
"354","20779",0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,2,0,0,6
"355","21071",0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,6
"356","21541",0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,1,0,0,1,1,0,6
"357","21626",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,3,6
"358","21634",0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,6
"359","21714",0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,6
"360","21767",0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,2,3,1,6
"361","21780",0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,6
"362","21829",0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,6
"363","21869",0,2,3,1,0,1,0,0,1,2,0,0,1,0,0,0,0,2,0,0,4,6
"364","20684",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,2,0,1,5
"365","20688",0,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,4,0,5
"366","20690",0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,5
"367","21524",0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,5
"368","21543",0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,1,5
"369","21628",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,5
"370","21649",0,0,1,1,0,1,0,0,0,1,0,0,2,1,1,0,0,0,2,2,3,5
"371","21657",1,0,1,0,4,0,1,1,0,1,0,0,1,1,0,0,0,0,1,2,0,5
"372","21762",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,5
"373","21802",0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,5
"374","21821",0,1,1,1,0,3,0,0,0,0,1,0,1,0,1,0,2,0,3,1,0,5
"375","21840",0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,1,0,5
"376","21841",0,1,1,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,3,0,0,5
"377","20609",0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4
"378","20615",0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,0,1,4
"379","20680",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4
"380","21538",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4
"381","21610",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4
"382","21622",2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,4
"383","21641",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2,4
"384","21652",0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
"385","21662",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,4
"386","21675",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,4
"387","21711",0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,4
"388","21734",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,4
"389","21738",0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4
"390","21920",0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,2,2,2,4
"391","21920",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,2,2,4
"392","20632",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3
"393","20667",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,3
"394","20692",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3
"395","20758",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3
"396","20868",0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
"397","21052",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,3,3
"398","21130",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
"399","21529",0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"400","21676",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
"401","21677",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
"402","21723",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"403","No Zip Code",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,3
"404","20612",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2
"405","20734",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
"406","20880",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2
"407","21051",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2
"408","21077",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"409","21082",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2
"410","21612",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2
"411","21644",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
"412","21654",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2
"413","21718",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2
"414","21835",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"415","19973",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"416","20236",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"417","20473",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"418","20606",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"419","20624",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"420","20629",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"421","20630",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"422","20635",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"423","20765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"424","20812",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"425","20839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"426","20896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"427","20967",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"428","21105",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"429","21107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"430","21112",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"431","21138",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"432","21153",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"433","21260",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"434","21405",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1
"435","21647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"436","21656",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"437","21679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"438","21715",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"439","21737",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"440","21760",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"441","21764",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"442","21930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"443","23692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"444","20604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"445","20626",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"446","20644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"447","20670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"448","20686",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449","20701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"450","20702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"451","20703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"452","20704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"453","20717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"454","20718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"455","20719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456","20725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"457","20741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"458","20742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459","20750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460","20755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"461","20757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462","20760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"463","20762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"464","20771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"465","20773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"466","20780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"467","20787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"468","20788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","20825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470","20827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"471","20838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472","20847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473","20848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"474","20856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"475","20857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476","20862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"477","20873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","20875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479","20889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","20892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481","20894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482","20898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483","20899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484","20907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485","20913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486","20918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487","20956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488","21000",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","21005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490","21010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491","21016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492","21025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"493","21031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"494","21056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"495","21064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"496","21094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"497","21101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498","21106",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499","21121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500","21156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501","21203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"502","21233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"503","21235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"504","21240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505","21241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"506","21250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"507","21251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"508","21252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"509","21287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510","21307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"511","21402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"512","21407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513","21411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"514","21412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"515","21515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516","21522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"517","21523",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"518","21540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"519","21546",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"520","21602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"521","21603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"522","21621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"523","21627",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"524","21637",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"525","21642",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"526","21650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"527","21653",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"528","21665",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529","21667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"530","21669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"531","21670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"532","21700",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"533","21705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534","21706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"535","21708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"536","21717",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"537","21720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"538","21744",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"539","21746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540","21790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","21824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"542","21843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543","21862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"544","21867",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"545","21890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","21906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"547","21916",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
